uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
virtual-tours,Virtual Tours,VR Tours|Online Tours|360 Tours|Digital Tours|Remote Viewing,,"Digital technology that allows prospective tenants to view and explore rental properties remotely through online 360-degree photography, video, or virtual reality.",software-development,,Source: retail-property-glossary.md,
vision-statement,Vision Statement,Vision,,A future-oriented declaration articulating the purpose and aspirations for a product or company.,strategy-planning,,Source: product-management-glossary.md,
voice-recognition,Voice Recognition,Voice Identification|Speaker Recognition|Voice Authentication|Speaker Identification,,"AI technology that identifies and processes human speech patterns for authentication, command recognition, or transcription purposes.",ai-machine-learning,,Source: ai-glossary.md,
warehouse,Warehouse,Distribution Warehouse|Storage Facility|Storage Building|Distribution Center,,"A large commercial building designed for storage, distribution, and light manufacturing activities, typically featuring high ceilings, loading docks, and open floor plans.",leasing-tenancy,,Source: retail-property-glossary.md,
waterfall,Waterfall,Waterfall Model|Traditional Development,,A linear and sequential product development process where each phase must be completed before moving to the next.,product-management,,Source: product-management-glossary.md,
web-service,Web Service,Internet Service|Online Service|API Service|Network Service,,"A standardized method for communication between applications over the internet using protocols like HTTP, SOAP, or REST for data exchange.",software-development,,Source: software-dev-glossary.md,
whatsapp-response-rate,WhatsApp Response Rate,WRR|WARR|WhatsApp Engagement Rate|WA Response Rate|Messaging Response Rate|WhatsApp Reply Rate,,"The percentage of WhatsApp message recipients who reply to or engage with communications sent via WhatsApp Business platform, primarily used in non-US markets where SMS limitations exist.",marketing-seo,,Source: marketing-terms-glossary.md,
white-label-solution,White-Label Solution,Private label|Rebranded solution|OEM solution|Branded service,,A product or service produced by one company that other companies rebrand to make it appear as their own brand and offering.,strategy-planning,,Source: business-plan-glossary.md,
win-rate-by-source,Win Rate By Source,WRBS|Source Win Rate|Channel Success Rate|Source Conversion Rate|Channel Close Rate,,"The percentage of opportunities that result in closed sales, segmented and analyzed by the originating marketing channel or lead source, identifying most effective acquisition channels.",marketing-seo,,Source: marketing-terms-glossary.md,
workflow,Workflow,Development Workflow|Process Flow|Process|Procedure,,"A defined sequence of tasks, processes, or activities that developers follow to complete software development projects efficiently and consistently.",operations,,"Source: process-management-glossary.md, software-dev-glossary.md",
workflow-automation,Workflow Automation,Process Automation|Business Process Automation|Task Automation|Process Optimization|WA,,"The use of AI and technology to automate business processes and task sequences, reducing manual intervention and improving operational efficiency.",operations,,"Source: ai-glossary.md, service-as-product-glossary.md",
workflow-completion-rate,Workflow Completion Rate,WCR|Automation Success Rate|Workflow Success|Automation Completion Rate|Process Success Rate,,"The percentage of automated workflows that execute successfully from start to finish without errors or manual intervention, calculated by dividing completed workflows by total initiated workflows and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
xml,XML,Extensible Markup Language|Extensible Markup Language|Markup Format|Data Encoding,,A markup language that defines rules for encoding documents and data in a format that is both human-readable and machine-readable.,data-management,,Source: data-management-glossary.md,
xml-sitemap,XML Sitemap,XML|Sitemap.xml|Site map file,,"A file listing all important URLs on your website, helping search engines discover and index content more efficiently, particularly for large or new sites.",marketing-seo,,Source: seo-glossary.md,
yield-management,Yield Management,YM|Revenue Management|Dynamic Pricing|Demand-Based Pricing,,"A pricing strategy that dynamically adjusts service prices based on demand patterns, capacity utilization, and market conditions.",strategy-planning,,Source: service-as-product-glossary.md,
zero-click-searches,Zero-Click Searches,No-click searches|SERP-only searches,,"Search queries where users find answers directly on the search results page without clicking through to websites, with only 36% of US searches resulting in clicks by 2024.",marketing-seo,,Source: seo-glossary.md,
zero-shot-learning,Zero-Shot Learning,Zero-Shot Inference|Zero-Shot Classification|Untrained Task Performance|Novel Task Execution,,An AI capability that allows models to perform tasks or classify data they haven't been specifically trained on by leveraging general knowledge and reasoning abilities.,ai-machine-learning,,Source: ai-glossary.md,
zero-trust-architecture,Zero Trust Architecture,ZTA|Zero Trust Model|Never Trust Always Verify|Zero Trust Security,,"A security model that requires verification of every user and device attempting to access service resources, regardless of location.",platform-services,,Source: service-as-product-glossary.md,
